"filename", "language", "Makefile", "C++", "comment", "blank", "total"
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\Makefile", "Makefile", 53, 0, 16, 18, 87
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\article.cpp", "C++", 0, 35, 0, 3, 38
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\company.cpp", "C++", 0, 14, 0, 3, 17
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\customer.cpp", "C++", 0, 19, 0, 3, 22
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\include\article.h", "C++", 0, 26, 0, 1, 27
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\include\company.h", "C++", 0, 17, 0, 5, 22
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\include\customer.h", "C++", 0, 17, 0, 3, 20
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\include\invoice.h", "C++", 0, 24, 0, 15, 39
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\include\menu.h", "C++", 0, 17, 0, 3, 20
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\include\rim.h", "C++", 0, 20, 0, 7, 27
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\include\tire.h", "C++", 0, 23, 0, 6, 29
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\include\tireCenter.h", "C++", 0, 23, 0, 2, 25
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\include\user.h", "C++", 0, 18, 0, 3, 21
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\invoice.cpp", "C++", 0, 32, 2, 4, 38
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\main.cpp", "C++", 0, 142, 2, 23, 167
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\menu.cpp", "C++", 0, 73, 0, 12, 85
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\rim.cpp", "C++", 0, 21, 0, 4, 25
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\tire.cpp", "C++", 0, 26, 0, 4, 30
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\tireCenter.cpp", "C++", 0, 27, 0, 4, 31
"c:\Users\xande\OneDrive\AAE-ICT\2de_jaar\OOP\eindProject1Oop2021\src\user.cpp", "C++", 0, 25, 0, 11, 36
"Total", "-", 53, 599, 20, 134, 806
